Customer ID,TotalSpent,TotalOrders,TotalQuantity,FirstPurchase,LastPurchase,CustomerLifetimeDays
12384,585.27,2,126,2011-08-10 11:23:00,2011-11-11 08:39:00,92
12385,1938.4,1,612,2010-11-25 15:14:00,2010-11-25 15:14:00,0
12386,401.9,2,354,2010-12-08 09:53:00,2011-01-06 12:37:00,29
12387,143.94,1,134,2010-10-20 16:27:00,2010-10-20 16:27:00,0
12388,3901.11,8,2001,2010-05-06 12:54:00,2011-11-24 12:30:00,566
12389,1433.33,3,614,2010-02-22 10:15:00,2010-11-02 11:52:00,253
12390,549.84,1,353,2011-09-21 09:33:00,2011-09-21 09:33:00,0
12391,2724.84,6,1204,2010-02-15 10:12:00,2011-11-18 12:07:00,641
12392,234.75000000000003,1,73,2010-04-27 14:04:00,2010-04-27 14:04:00,0
12393,2399.45,6,1311,2010-10-07 13:49:00,2011-09-28 15:41:00,356
12394,1272.48,2,819,2011-05-06 14:01:00,2011-10-07 08:08:00,153
12395,4721.17,15,3205,2010-04-16 10:16:00,2011-11-20 15:21:00,583
12396,931.4300000000001,1,591,2010-02-03 13:22:00,2010-02-03 13:22:00,0
12397,2409.9,2,1263,2011-07-27 14:21:00,2011-11-04 09:52:00,99
12398,1635.6599999999999,1,1394,2011-10-25 10:27:00,2011-10-25 10:27:00,0
12399,1962.3,7,2198,2010-03-05 08:45:00,2011-08-12 13:15:00,525
12400,205.25,1,91,2010-10-21 13:45:00,2010-10-21 13:45:00,0
12401,84.3,1,11,2011-02-09 13:50:00,2011-02-09 13:50:00,0
12402,1256.9,6,584,2010-02-07 12:41:00,2011-01-20 13:49:00,347
12403,1019.36,2,260,2010-07-06 11:39:00,2011-10-21 10:51:00,471
12404,63.24,1,1,2010-01-26 16:25:00,2010-01-26 16:25:00,0
12405,1710.39,1,857,2011-07-14 08:52:00,2011-07-14 08:52:00,0
12406,6390.36,5,3416,2010-01-11 14:04:00,2011-11-17 19:22:00,675
12407,1708.12,5,1416,2011-03-20 13:21:00,2011-10-21 10:11:00,214
12408,4340.77,8,2229,2010-07-29 13:27:00,2011-11-07 12:27:00,465
12409,23419.29,7,13143,2010-05-23 15:21:00,2011-09-22 10:38:00,486
12410,1013.71,3,341,2010-07-25 13:26:00,2011-02-04 10:39:00,193
12411,346.9,1,138,2010-10-26 09:25:00,2010-10-26 09:25:00,0
12412,2596.93,6,1997,2010-06-18 13:22:00,2011-09-26 10:16:00,464
12413,999.45,4,319,2010-11-02 13:26:00,2011-10-04 09:00:00,335
12414,952.4100000000001,6,495,2010-09-02 12:22:00,2011-05-06 14:51:00,246
12415,144458.37,28,91447,2010-06-30 08:30:00,2011-11-15 14:22:00,503
12416,202.56,1,132,2010-02-21 10:19:00,2010-02-21 10:19:00,0
12417,6797.41,20,2884,2009-12-06 10:30:00,2011-12-06 14:52:00,730
12418,2021.2,4,1088,2010-03-19 14:47:00,2011-08-19 11:08:00,517
12419,503.01,2,231,2010-10-22 10:40:00,2010-11-19 10:04:00,27
12420,600.39,1,345,2011-10-07 08:55:00,2011-10-07 08:55:00,0
12421,1098.6,6,652,2010-07-22 13:57:00,2011-11-24 09:07:00,489
12422,5231.8,17,2596,2009-12-18 12:44:00,2011-09-05 09:48:00,625
12423,2622.39,10,1793,2010-08-31 09:31:00,2011-12-09 10:10:00,465
12424,3340.0299999999997,4,2025,2010-06-09 15:15:00,2011-06-30 12:06:00,385
12425,1741.41,2,1147,2010-09-17 14:10:00,2011-09-22 17:31:00,370
12426,1345.21,2,584,2010-02-15 08:41:00,2011-05-29 12:26:00,468
12427,825.8000000000001,3,533,2010-12-03 10:44:00,2011-11-18 08:56:00,349
12428,7956.46,9,3536,2011-03-01 09:33:00,2011-11-14 08:22:00,257
12429,6204.41,8,2890,2010-06-11 13:28:00,2011-11-30 17:22:00,537
12430,256.4,1,117,2011-10-27 15:09:00,2011-10-27 15:09:00,0
12431,10432.220000000001,27,4600,2010-01-15 09:04:00,2011-11-04 11:55:00,658
12432,5059.32,5,1801,2011-06-20 13:27:00,2011-10-28 11:43:00,129
12433,16794.14,10,13534,2010-08-20 09:23:00,2011-12-09 10:02:00,476
12434,1103.43,3,532,2010-11-23 13:38:00,2011-09-16 12:38:00,296
12435,13925.93,6,4958,2009-12-02 13:58:00,2011-09-21 09:06:00,657
12436,509.01,1,211,2011-09-01 12:09:00,2011-09-01 12:09:00,0
12437,12683.4,39,8000,2009-12-02 16:24:00,2011-12-08 11:35:00,735
12438,2906.85,2,1180,2011-07-22 13:29:00,2011-11-25 13:28:00,125
12439,1142.88,2,478,2009-12-14 08:40:00,2010-01-26 12:11:00,43
12440,859.2,2,331,2009-12-22 12:03:00,2010-09-03 13:11:00,255
12441,173.55,1,121,2010-12-08 10:45:00,2010-12-08 10:45:00,0
12442,172.06,1,182,2011-12-06 14:22:00,2011-12-06 14:22:00,0
12443,485.31,1,182,2009-12-07 15:42:00,2009-12-07 15:42:00,0
12444,5005.46,5,1153,2011-06-21 14:00:00,2011-11-18 13:23:00,149
12445,434.98,2,206,2010-10-15 12:28:00,2011-11-17 18:43:00,398
12446,1002.3100000000001,1,351,2011-10-13 12:50:00,2011-10-13 12:50:00,0
12447,476.49,1,190,2011-04-10 13:25:00,2011-04-10 13:25:00,0
12448,449.45,1,243,2011-10-26 13:46:00,2011-10-26 13:46:00,0
12449,4835.89,6,2282,2010-09-27 09:37:00,2011-11-17 13:46:00,416
12450,688.2,5,442,2010-08-22 13:11:00,2011-07-06 14:41:00,318
12451,12669.88,8,9359,2010-06-28 12:58:00,2011-11-29 08:40:00,518
12452,430.57000000000005,2,185,2011-11-23 08:05:00,2011-11-23 10:28:00,0
12453,707.09,1,473,2011-07-28 14:08:00,2011-07-28 14:08:00,0
12454,16679.78,5,7703,2010-10-14 17:33:00,2011-10-14 17:13:00,364
12455,5879.95,10,3302,2009-12-18 12:33:00,2011-09-27 15:31:00,648
12456,3181.04,3,1633,2011-03-30 09:12:00,2011-10-26 14:41:00,210
12457,2995.91,8,1094,2010-09-30 17:59:00,2011-10-04 13:13:00,368
12458,1777.49,4,986,2010-08-09 10:33:00,2011-09-29 15:25:00,416
12459,454.36,1,258,2010-04-13 14:53:00,2010-04-13 14:53:00,0
12460,326.65,1,170,2010-09-09 13:51:00,2010-09-09 13:51:00,0
12461,826.88,2,287,2011-07-08 10:23:00,2011-09-06 16:57:00,60
12462,1189.59,2,536,2011-02-09 14:44:00,2011-11-21 09:11:00,284
12463,1344.78,4,776,2011-04-12 12:47:00,2011-10-17 13:44:00,188
12464,1212.05,8,112,2011-02-03 13:30:00,2011-11-29 13:33:00,299
12465,742.19,2,479,2011-06-23 13:37:00,2011-11-22 16:34:00,152
12466,56.73,1,1,2010-01-26 16:26:00,2010-01-26 16:26:00,0
12467,132.8,1,129,2010-10-12 15:41:00,2010-10-12 15:41:00,0
12468,3670.7400000000002,5,2201,2010-01-26 10:09:00,2011-06-05 11:36:00,495
12469,3070.54,2,2552,2010-06-21 10:30:00,2010-07-05 12:40:00,14
12470,211.95,1,95,2010-01-19 11:01:00,2010-01-19 11:01:00,0
12471,39918.19,79,16858,2009-12-07 10:41:00,2011-12-07 15:43:00,730
12472,16249.29,19,10378,2009-12-14 10:49:00,2011-11-07 14:01:00,693
12473,3928.05,5,2414,2011-06-01 10:15:00,2011-11-10 13:46:00,162
12474,12372.75,31,7940,2010-02-11 09:41:00,2011-11-22 14:39:00,649
12475,1149.64,2,771,2010-10-26 08:49:00,2011-10-17 10:10:00,356
12476,14083.91,23,5631,2010-07-26 09:04:00,2011-11-24 12:40:00,486
12477,20276.37,9,6119,2010-03-26 14:01:00,2011-11-17 09:51:00,600
12478,680.99,1,236,2011-12-06 09:56:00,2011-12-06 09:56:00,0
12479,527.2,1,385,2011-11-28 13:26:00,2011-11-28 13:26:00,0
12480,5464.85,7,2952,2010-07-20 13:21:00,2011-11-11 14:52:00,479
12481,12185.51,15,7158,2010-04-11 13:10:00,2011-11-17 08:29:00,584
12482,23691.4,29,27042,2010-02-24 10:24:00,2010-05-12 16:51:00,77
12483,5097.18,19,2160,2010-01-31 13:28:00,2011-11-22 17:02:00,660
12484,6354.1,12,3266,2010-01-27 16:41:00,2011-11-07 11:37:00,648
12485,708.1,1,414,2010-06-28 15:22:00,2010-06-28 15:22:00,0
12486,1037.28,1,523,2010-10-04 12:14:00,2010-10-04 12:14:00,0
12487,285.3,1,174,2009-12-09 11:36:00,2009-12-09 11:36:00,0
12488,1298.66,3,529,2011-09-25 10:34:00,2011-11-30 08:50:00,65
12489,334.93,1,105,2011-01-07 13:13:00,2011-01-07 13:13:00,0
12490,9823.64,21,5906,2009-12-01 12:52:00,2011-12-04 16:07:00,733
12491,460.40000000000003,1,260,2011-11-01 12:18:00,2011-11-01 12:18:00,0
12492,715.21,3,444,2010-11-01 14:58:00,2011-10-07 15:15:00,340
12493,433.74,2,207,2011-05-26 14:53:00,2011-06-27 10:17:00,31
12494,1815.27,9,979,2010-05-12 13:52:00,2011-11-24 09:34:00,560
12495,357.4,1,130,2010-03-09 10:53:00,2010-03-09 10:53:00,0
12496,45.34,2,30,2010-03-29 13:57:00,2010-03-29 14:06:00,0
12497,6248.5,3,5685,2010-03-05 09:39:00,2011-09-19 12:29:00,563
12498,403.70000000000005,3,159,2011-10-13 09:30:00,2011-11-18 12:53:00,36
12499,393.72,1,302,2010-05-28 15:12:00,2010-05-28 15:12:00,0
12500,5955.21,19,3377,2010-02-04 15:05:00,2011-11-16 16:20:00,650
12501,2169.39,1,1783,2011-01-07 12:28:00,2011-01-07 12:28:00,0
12502,3723.87,5,820,2011-02-03 10:41:00,2011-09-05 11:52:00,214
12503,1126.0,1,561,2010-05-04 13:59:00,2010-05-04 13:59:00,0
12504,779.05,4,458,2010-04-22 10:24:00,2011-11-21 16:02:00,578
12505,955.2,1,324,2010-10-27 09:18:00,2010-10-27 09:18:00,0
12506,73.5,1,23,2011-04-21 08:54:00,2011-04-21 08:54:00,0
12507,1844.06,4,1256,2010-05-04 09:23:00,2011-07-28 17:09:00,450
12508,397.88,2,271,2011-11-10 16:27:00,2011-11-13 15:37:00,2
12509,176.5,1,55,2011-02-28 14:45:00,2011-02-28 14:45:00,0
12510,5178.02,9,2049,2009-12-04 13:47:00,2011-07-20 10:15:00,592
12511,3084.02,1,1753,2010-10-07 10:39:00,2010-10-07 10:39:00,0
12512,132.18,2,96,2011-10-04 14:53:00,2011-10-04 14:55:00,0
12513,612.29,1,462,2011-08-19 10:51:00,2011-08-19 10:51:00,0
12514,1597.76,2,840,2010-03-08 12:18:00,2011-03-17 16:38:00,374
12515,383.7,1,131,2010-12-21 15:43:00,2010-12-21 15:43:00,0
12516,2648.62,4,1952,2010-04-19 14:14:00,2011-09-23 09:13:00,521
12517,2481.6,5,1361,2011-06-02 15:13:00,2011-11-11 14:04:00,161
12518,2056.89,5,1318,2011-08-21 13:18:00,2011-12-09 10:13:00,109
12519,716.54,2,387,2010-08-20 08:21:00,2011-10-07 09:26:00,413
12520,2634.26,5,1439,2011-03-11 11:35:00,2011-09-21 15:23:00,194
12521,599.68,1,309,2011-07-20 10:51:00,2011-07-20 10:51:00,0
12522,192.72,2,194,2011-10-19 14:41:00,2011-10-31 15:30:00,12
12523,4352.35,23,2263,2009-12-07 13:46:00,2011-11-20 12:55:00,712
12524,11126.11,17,7178,2010-02-08 14:41:00,2011-11-30 15:31:00,660
12525,973.73,3,509,2010-03-02 14:01:00,2010-07-29 16:08:00,149
12526,1316.66,3,632,2011-09-06 14:19:00,2011-12-09 12:09:00,93
12527,735.51,5,526,2010-06-28 15:37:00,2011-09-19 11:55:00,447
12528,1933.48,6,756,2011-01-31 09:05:00,2011-11-30 14:40:00,303
12529,316.48,1,192,2010-06-29 13:10:00,2010-06-29 13:10:00,0
12530,3759.26,9,2713,2010-03-07 14:37:00,2011-10-11 12:34:00,582
12531,1933.2,2,1119,2010-01-22 14:17:00,2011-11-25 11:12:00,671
12532,349.83000000000004,1,153,2011-11-09 13:47:00,2011-11-09 13:47:00,0
12533,1367.89,2,704,2009-12-01 11:50:00,2010-03-22 10:56:00,110
12534,1089.18,1,651,2011-08-01 10:26:00,2011-08-01 10:26:00,0
12535,716.35,2,219,2011-06-06 12:47:00,2011-09-09 08:48:00,94
12536,12601.830000000002,3,2803,2011-10-11 14:52:00,2011-10-27 14:20:00,15
12537,732.94,1,449,2010-10-27 08:36:00,2010-10-27 08:36:00,0
12538,640.45,2,336,2010-11-26 13:02:00,2011-11-10 17:16:00,349
12539,11214.75,7,4535,2009-12-23 13:00:00,2011-11-17 13:30:00,694
12540,22254.49,33,11019,2009-12-07 16:56:00,2011-11-20 11:31:00,712
12541,981.18,3,680,2011-03-04 09:32:00,2011-11-10 10:40:00,251
12542,481.88,2,522,2010-03-09 16:26:00,2010-08-12 19:12:00,156
12543,980.25,1,688,2010-09-17 15:51:00,2010-09-17 15:51:00,0
12544,372.7,1,136,2011-11-03 16:15:00,2011-11-03 16:15:00,0
12545,1000.39,2,523,2011-03-25 12:04:00,2011-09-25 13:39:00,184
12546,1161.5,2,633,2011-09-23 09:44:00,2011-10-24 12:09:00,31
12547,383.58,3,309,2010-07-27 13:55:00,2011-05-26 12:38:00,302
12548,95.19999999999999,1,49,2011-06-26 15:35:00,2011-06-26 15:35:00,0
12549,1575.68,6,1366,2010-01-11 12:29:00,2010-05-13 12:05:00,121
12550,964.83,1,569,2011-09-21 14:35:00,2011-09-21 14:35:00,0
12551,168.0,1,100,2010-12-17 11:23:00,2010-12-17 11:23:00,0
12552,437.82,2,88,2011-10-31 12:11:00,2011-11-01 10:02:00,0
12553,4608.75,12,2325,2010-10-12 13:35:00,2011-12-01 16:38:00,415
12554,468.5,1,240,2010-09-17 12:29:00,2010-09-17 12:29:00,0
12555,129.23,1,1,2010-01-26 16:26:00,2010-01-26 16:26:00,0
12556,599.56,2,355,2011-07-11 13:35:00,2011-10-20 13:06:00,100
12557,18096.14,8,6382,2009-12-17 10:39:00,2011-11-23 16:59:00,706
12558,269.96,1,196,2011-12-02 10:41:00,2011-12-02 10:41:00,0
12559,561.71,2,283,2011-01-24 10:12:00,2011-02-02 09:49:00,8
12560,2134.01,3,1110,2011-07-19 15:55:00,2011-12-04 13:54:00,137
12561,238.85,1,177,2011-02-10 11:39:00,2011-02-10 11:39:00,0
12562,4966.92,9,2327,2010-09-30 13:13:00,2011-12-01 17:20:00,427
12563,249.24,1,113,2010-10-27 09:52:00,2010-10-27 09:52:00,0
12564,456.90000000000003,1,133,2011-03-23 14:55:00,2011-03-23 14:55:00,0
12565,145.92000000000002,1,80,2011-02-24 10:34:00,2011-02-24 10:34:00,0
12566,351.65,1,265,2011-09-14 14:30:00,2011-09-14 14:30:00,0
12567,11767.48,15,5308,2010-02-11 10:30:00,2011-11-17 11:02:00,644
12568,70.0,1,48,2010-03-05 09:15:00,2010-03-05 09:15:00,0
12569,4124.6900000000005,32,1801,2011-04-01 13:47:00,2011-12-07 16:24:00,250
12570,77.52,1,1,2010-01-26 17:28:00,2010-01-26 17:28:00,0
12571,519.61,2,523,2011-08-10 12:35:00,2011-10-31 10:19:00,81
12572,1020.4200000000001,2,452,2011-10-19 08:20:00,2011-12-01 09:20:00,43
12573,717.41,5,479,2010-08-31 17:25:00,2011-04-26 15:52:00,237
12574,218.45000000000002,1,61,2011-01-28 09:20:00,2011-01-28 09:20:00,0
12575,622.82,2,315,2010-07-01 09:15:00,2010-09-08 13:09:00,69
12576,2142.7200000000003,8,1494,2010-07-01 13:46:00,2011-11-04 10:11:00,490
12577,1617.1,8,1191,2009-12-03 19:31:00,2011-11-04 13:24:00,700
12578,4642.45,4,2380,2010-09-22 11:19:00,2011-11-18 13:30:00,422
12579,440.42,1,285,2011-09-22 17:15:00,2011-09-22 17:15:00,0
12580,1052.9,2,569,2010-05-12 11:45:00,2011-04-07 10:24:00,329
12581,197.71,1,161,2011-10-31 08:56:00,2011-10-31 08:56:00,0
12582,1980.4,4,985,2010-05-11 09:55:00,2011-04-15 08:45:00,338
12583,13591.58,27,8535,2009-12-06 11:57:00,2011-12-07 08:07:00,730
12584,2338.15,9,416,2011-03-04 15:15:00,2011-12-06 09:35:00,276
12585,2040.1,2,1279,2010-12-23 12:58:00,2011-04-19 13:39:00,117
12586,2062.67,4,687,2009-12-16 13:15:00,2011-11-22 16:24:00,706
12587,144.0,1,51,2011-12-02 12:47:00,2011-12-02 12:47:00,0
12588,958.78,4,438,2010-04-21 12:22:00,2011-10-31 15:01:00,558
12589,4695.66,8,1764,2010-01-19 12:26:00,2011-11-11 10:19:00,660
12590,9864.26,2,4283,2011-05-12 14:46:00,2011-05-12 14:52:00,0
12591,1338.95,3,653,2010-10-27 10:42:00,2011-01-26 14:35:00,91
12592,2582.66,5,1875,2010-07-08 14:06:00,2011-09-08 15:04:00,427
12593,418.1,3,206,2011-05-05 09:29:00,2011-08-23 12:43:00,110
12594,5090.110000000001,15,2768,2010-03-03 13:51:00,2011-11-02 12:20:00,608
12595,299.02,1,271,2010-07-23 09:10:00,2010-07-23 09:10:00,0
12596,618.27,2,474,2011-04-11 13:22:00,2011-10-19 13:02:00,190
12597,3811.22,4,2236,2011-03-16 14:00:00,2011-11-20 13:33:00,248
12598,4534.09,11,2906,2010-03-01 09:58:00,2011-11-30 12:18:00,639
12599,2296.72,13,2189,2010-05-11 10:42:00,2011-11-10 13:34:00,548
12600,4967.42,21,1383,2009-12-07 13:37:00,2011-11-11 10:29:00,703
12601,681.26,6,290,2010-10-31 10:57:00,2011-06-03 10:17:00,214
12602,153.12,1,162,2011-10-12 11:22:00,2011-10-12 11:22:00,0
12603,739.1999999999999,1,63,2011-11-18 10:42:00,2011-11-18 10:42:00,0
12604,254.18,2,201,2011-03-23 12:06:00,2011-09-21 14:08:00,182
12605,1232.95,4,929,2010-09-07 14:21:00,2010-11-28 14:18:00,81
12606,21.0,1,1,2010-01-26 16:23:00,2010-01-26 16:23:00,0
12607,1579.51,1,1228,2011-10-10 16:06:00,2011-10-10 16:06:00,0
12608,415.79,1,323,2010-10-31 10:49:00,2010-10-31 10:49:00,0
12609,3435.86,9,1553,2009-12-20 13:30:00,2011-09-22 16:34:00,641
12610,2099.54,5,1049,2011-08-05 13:52:00,2011-11-17 09:34:00,103
12611,1193.32,1,846,2011-10-18 13:12:00,2011-10-18 13:12:00,0
12612,704.04,1,262,2011-09-26 15:35:00,2011-09-26 15:35:00,0
12613,6817.37,10,4157,2009-12-14 13:10:00,2011-10-13 14:59:00,668
12614,315.6,1,76,2011-03-07 10:22:00,2011-03-07 10:22:00,0
12615,5740.9800000000005,8,3317,2010-03-18 14:09:00,2011-12-07 15:02:00,629
12616,1131.1,3,498,2010-11-16 11:38:00,2011-09-05 15:17:00,293
12617,352.98,1,210,2011-11-10 14:39:00,2011-11-10 14:39:00,0
12618,177.31,1,96,2011-11-18 11:10:00,2011-11-18 11:10:00,0
12619,3781.38,10,3518,2010-05-28 12:52:00,2011-11-23 14:52:00,544
12620,1339.41,3,1181,2011-05-19 12:10:00,2011-11-25 10:20:00,189
12621,24311.2,35,13706,2010-02-09 12:01:00,2011-12-08 11:25:00,666
12622,180.1,1,69,2011-04-21 16:39:00,2011-04-21 16:39:00,0
12623,3747.84,7,1971,2010-01-12 11:45:00,2011-03-08 13:50:00,420
12624,641.13,2,355,2011-06-15 12:34:00,2011-08-25 15:04:00,71
12625,5164.88,4,3309,2010-04-22 11:33:00,2011-05-12 09:54:00,384
12626,6620.4800000000005,9,3453,2011-01-17 11:01:00,2011-11-16 16:06:00,303
12627,4478.53,7,2752,2011-07-22 13:59:00,2011-11-29 12:07:00,129
12628,786.46,3,448,2011-10-06 09:28:00,2011-12-05 13:15:00,60
12629,1558.22,2,722,2010-10-12 16:40:00,2010-11-19 09:18:00,37
12630,1270.88,2,548,2011-10-27 10:41:00,2011-11-30 10:48:00,34
12631,3481.57,6,1607,2010-01-15 14:50:00,2011-10-13 13:53:00,635
12632,804.88,2,694,2010-05-24 09:07:00,2010-07-07 09:39:00,44
12633,5678.16,7,3238,2010-07-02 11:44:00,2011-10-12 11:40:00,466
12634,490.0,2,337,2010-06-09 15:41:00,2010-06-22 10:05:00,12
12635,2930.41,4,1949,2010-09-09 10:50:00,2011-09-11 11:04:00,367
12636,141.0,1,1,2009-12-01 09:55:00,2009-12-01 09:55:00,0
12637,8283.81,12,4257,2010-06-14 13:36:00,2011-10-03 13:46:00,476
12638,921.49,2,663,2010-03-10 10:30:00,2011-11-06 13:11:00,606
12639,1312.3700000000001,3,631,2010-03-22 09:05:00,2011-04-15 12:48:00,389
12640,1174.58,3,311,2011-09-19 12:01:00,2011-11-16 11:52:00,57
12641,185.9,1,72,2011-08-16 13:26:00,2011-08-16 13:26:00,0
12642,1013.26,3,552,2011-08-24 09:23:00,2011-11-14 15:03:00,82
12643,8304.82,12,4665,2010-04-07 14:16:00,2011-08-03 12:56:00,482
12644,1918.49,4,1032,2010-01-14 13:02:00,2011-08-02 10:33:00,564
12645,3539.3,8,2125,2010-02-09 10:49:00,2011-11-06 12:38:00,635
12646,1346.97,2,897,2011-10-21 12:52:00,2011-12-05 10:14:00,44
12647,16955.55,36,6633,2010-01-13 15:06:00,2011-11-17 12:56:00,672
12648,1112.0,4,518,2010-01-07 18:38:00,2011-07-08 11:55:00,546
12649,2294.65,8,1959,2010-01-12 17:24:00,2011-08-24 14:41:00,588
12650,314.44,1,254,2011-12-06 16:34:00,2011-12-06 16:34:00,0
12651,377.75,4,265,2010-08-31 15:21:00,2011-01-09 12:46:00,130
12652,1017.0300000000001,2,536,2010-10-01 15:16:00,2011-01-12 15:00:00,102
12653,4160.83,3,1681,2010-07-01 09:56:00,2011-07-14 10:41:00,378
12654,601.98,5,264,2011-02-17 13:16:00,2011-11-29 10:10:00,284
12655,261.35,1,80,2010-10-12 09:17:00,2010-10-12 09:17:00,0
12656,6407.83,8,2860,2010-05-26 09:00:00,2011-11-22 13:42:00,545
12657,1643.18,4,1044,2011-09-22 11:40:00,2011-11-28 15:47:00,67
12658,686.05,1,320,2011-11-21 10:22:00,2011-11-21 10:22:00,0
12659,91.68,1,105,2011-11-10 11:53:00,2011-11-10 11:53:00,0
12660,245.10000000000002,1,127,2011-11-28 13:26:00,2011-11-28 13:26:00,0
12661,162.0,1,216,2010-09-29 16:46:00,2010-09-29 16:46:00,0
12662,6726.54,20,3424,2010-04-01 09:50:00,2011-12-09 11:59:00,617
12663,239.4,2,181,2010-02-09 14:28:00,2010-03-25 09:40:00,43
12664,6070.04,11,1495,2009-12-13 10:28:00,2011-12-01 17:07:00,718
12665,313.6,3,165,2010-02-08 15:11:00,2011-01-19 08:34:00,344
12666,1248.42,1,370,2010-11-10 16:40:00,2010-11-10 16:40:00,0
12667,620.13,1,395,2011-10-12 17:00:00,2011-10-12 17:00:00,0
12668,11383.03,10,5049,2010-01-31 15:45:00,2011-11-28 10:56:00,665
12669,2744.0299999999997,3,1115,2011-03-28 10:15:00,2011-07-12 09:54:00,105
12670,3760.29,7,1627,2010-02-11 10:13:00,2011-11-29 15:23:00,656
12671,2622.481,1,1460,2010-04-12 16:30:00,2010-04-12 16:30:00,0
12672,437.05,2,138,2010-04-23 09:57:00,2011-01-14 09:20:00,265
12673,1230.02,3,700,2010-11-03 10:46:00,2011-12-04 13:55:00,396
12674,1970.6,4,1133,2011-05-16 09:10:00,2011-11-01 12:12:00,169
12675,957.25,2,336,2010-05-10 16:44:00,2010-06-04 09:49:00,24
12676,2843.09,11,1867,2010-08-13 13:29:00,2011-11-15 12:25:00,458
12677,395.1,2,176,2010-02-11 13:55:00,2010-06-02 14:30:00,111
12678,34281.18,21,22372,2010-01-07 16:46:00,2011-10-28 13:04:00,658
12679,1113.02,4,554,2011-03-01 12:26:00,2011-10-12 12:30:00,225
12680,880.81,4,444,2011-08-18 15:44:00,2011-12-09 12:50:00,112
12681,29834.760000000002,45,17011,2009-12-13 13:31:00,2011-11-25 11:33:00,711
12682,22950.22,52,10522,2009-12-01 09:28:00,2011-12-06 10:00:00,735
12683,11633.7,21,7019,2009-12-13 15:01:00,2011-12-05 16:31:00,722
12684,2283.63,7,1985,2011-05-10 12:55:00,2011-12-02 09:53:00,205
12685,2863.08,6,1523,2011-09-07 10:28:00,2011-11-11 13:46:00,65
12686,89.14,1,107,2010-12-03 09:51:00,2010-12-03 09:51:00,0
12687,2138.91,2,1403,2010-08-16 12:10:00,2010-08-16 12:12:00,0
12688,4873.81,1,3028,2011-08-18 08:49:00,2011-08-18 08:49:00,0
12689,1247.6100000000001,2,628,2011-08-04 10:04:00,2011-11-14 08:31:00,101
