StockCode,Description,TotalQuantitySold,Revenue,OrderCount
22169,FAMILY ALBUM WHITE PICTURE FRAME,2094,16676.94,570
22505,MEMO BOARD COTTAGE DESIGN,3605,16599.89,655
21218,RED SPOTTY BISCUIT TIN,4715,16431.45,588
22847,BREAD BIN DINER STYLE IVORY,1049,16335.789999999999,435
84992,72 SWEETHEART FAIRY CAKE CASES,33936,16178.47,1176
21527,RED RETROSPOT TRADITIONAL TEAPOT ,2266,15892.74,508
21164,HOME SWEET HOME METAL SIGN ,5839,15888.490000000002,630
22297,HEART IVORY TRELLIS SMALL,12939,15836.59,646
22424,ENAMEL BREAD BIN CREAM,1300,15621.65,559
48173C,DOORMAT BLACK FLOCK ,2813,15618.36,290
22557,PLASTERS IN TIN VINTAGE PAISLEY ,9827,15614.59,991
22083,PAPER CHAIN KIT RETROSPOT,5514,15411.86,585
21877,HOME SWEET HOME MUG,13856,15399.56,650
22383,LUNCH BAG SUKI DESIGN ,9570,15332.9,899
22690,DOORMAT HOME SWEET HOME BLUE ,2493,15329.57,401
71053,WHITE METAL LANTERN,4306,15309.64,583
22662,LUNCH BAG DOLLY GIRL DESIGN,9715,15305.19,872
22632,HAND WARMER RED RETROSPOT,7578,15272.52,675
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16445,15241.51,821
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6418,15232.34,798
22296,HEART IVORY TRELLIS LARGE,9416,15218.08,739
84946,ANTIQUE SILVER T-LIGHT GLASS,12949,15176.42,534
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1632,15172.6,444
20685,DOOR MAT RED SPOT,2426,15093.48,369
22041,"RECORD FRAME 7"" SINGLE SIZE ",6845,15088.77,319
21843,RETRO SPOT CAKE STAND,1431,15083.449999999999,295
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4198,15067.14,416
20719,WOODLAND CHARLOTTE BAG,19027,15030.64,1062
22634,CHILDS BREAKFAST SET SPACEBOY ,1627,15021.4,464
22502,PICNIC BASKET WICKER SMALL,2985,14945.6,566
22652,TRAVEL SEWING KIT,9353,14859.81,716
21975,PACK OF 60 DINOSAUR CAKE CASES,30881,14818.01,1133
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3405,14796.15,373
22635,CHILDS BREAKFAST SET DOLLY GIRL ,1598,14787.949999999999,450
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4169,14719.35,578
21914,BLUE HARMONICA IN BOX ,11830,14667.47,815
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2309,14658.65,510
17003,BROCADE RING PURSE ,70082,14640.96,387
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754,14626.73,451
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,4051,14609.91,460
21891,TRADITIONAL WOODEN SKIPPING ROPE,11721,14603.13,664
82582,AREA PATROLLED METAL SIGN,7346,14563.1,696
84375,SET OF 20 KIDS COOKIE CUTTERS,7275,14558.970000000001,626
20750,RED RETROSPOT MINI CASES,2021,14548.55,479
22193,RED DINER WALL CLOCK,1775,14527.09,554
85014B,RED RETROSPOT UMBRELLA,2613,14439.12,421
21889,WOODEN BOX OF DOMINOES,11803,14430.66,869
21258,VICTORIAN SEWING BOX LARGE,1229,14406.63,344
22487,WHITE WOOD GARDEN PLANT LADDER,1519,14256.96,808
22993,SET OF 4 PANTRY JELLY MOULDS,11769,14151.42,866
22759,SET OF 3 NOTEBOOKS IN PARCEL,8860,14138.4,634
21484,CHICK GREY HOT WATER BOTTLE,4085,14071.27,676
21165,BEWARE OF THE CAT METAL SIGN ,9080,14070.08,779
22619,SET OF 6 SOLDIER SKITTLES,3762,13950.85,574
21770,OPEN CLOSED METAL SIGN,2896,13926.810000000001,580
22384,LUNCH BAG PINK RETROSPOT,8738,13893.7,730
84378,SET OF 3 HEART COOKIE CUTTERS,11007,13862.84,944
22837,HOT WATER BOTTLE BABUSHKA ,3093,13807.25,354
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,3820,13805.16,445
84997D,CHILDRENS CUTLERY POLKADOT PINK,3528,13788.300000000001,323
21380,WOODEN HAPPY BIRTHDAY GARLAND,4877,13770.150000000001,540
22606,WOODEN SKITTLES GARDEN SET,1022,13722.74,337
35004C,SET OF 3 COLOURED  FLYING DUCKS,2851,13577.15,229
48111,DOORMAT 3 SMILEY CATS,2290,13552.78,326
22940,FELTCRAFT CHRISTMAS FAIRY,3286,13462.18,547
21217,RED SPOTTY ROUND CAKE TINS,1415,13458.25,418
21169,YOU'RE CONFUSING ME METAL SIGN ,8642,13438.58,621
47556B,TEA TIME TEA TOWELS ,5141,13363.35,408
84050,PINK HEART SHAPE EGG FRYING PAN,9547,13316.63,557
22191,IVORY DINER WALL CLOCK,1629,13271.9,475
22271,FELTCRAFT DOLL ROSIE,4744,13244.460000000001,691
79323P,PINK CHERRY LIGHTS,2234,13198.1,229
22295,HEART FILIGREE DOVE LARGE,8159,13184.07,620
22692,DOORMAT WELCOME TO OUR HOME,1935,13103.81,460
21094,SET/6 RED SPOTTY PAPER PLATES,17752,13068.56,692
23200,JUMBO BAG PEARS,6729,13034.92,470
23108,SET OF 10 LED DOLLY LIGHTS,2192,12972.73,351
23313,VINTAGE CHRISTMAS BUNTING,2748,12960.12,359
23356,LOVE HOT WATER BOTTLE,2325,12954.75,449
22236,CAKE STAND 3 TIER MAGIC GARDEN,1074,12951.9,391
22730,ALARM CLOCK BAKELIKE IVORY,3451,12951.5,616
21390,FILIGRIS HEART WITH BUTTERFLY,10622,12849.14,482
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,4538,12846.140000000001,714
35970,ZINC FOLKART SLEIGH BELLS,7851,12806.27,545
15044A,PINK PAPER PARASOL ,4894,12803.78,194
22621,TRADITIONAL KNITTING NANCY,8365,12780.57,719
21704,BAG 250g SWIRLY MARBLES,16824,12750.539999999999,464
22636,CHILDS BREAKFAST SET CIRCUS PARADE,1565,12716.380000000001,460
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,5331,12669.04,645
22946,WOODEN ADVENT CALENDAR CREAM,869,12588.45,208
22952,60 CAKE CASES VINTAGE CHRISTMAS,25179,12556.77,801
22655,VINTAGE RED KITCHEN CABINET,75,12550.0,52
C2,CARRIAGE,249,12546.0,248
48116,DOORMAT MULTICOLOUR STRIPE,2273,12541.22,193
48187,DOOR MAT NEW ENGLAND,1953,12520.95,423
22150,3 STRIPEY MICE FELTCRAFT,6971,12515.65,717
21871,SAVE THE PLANET MUG,11099,12515.44,600
23301,GARDENERS KNEELING PAD KEEP CALM ,7722,12463.78,756
62018,SOMBRERO ,9548,12413.8,123
21259,VICTORIAN SEWING BOX SMALL ,2171,12409.960000000001,553
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3407,12407.83,621
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,10290,12354.22,625
48129,DOORMAT TOPIARY,2048,12345.7,300
22766,PHOTO FRAME CORNICE,4246,12280.18,580
22355,CHARLOTTE BAG SUKI DESIGN,15411,12268.65,957
22627,MINT KITCHEN SCALES,1476,12219.99,558
22303,COFFEE MUG APPLES DESIGN,5310,12179.95,480
75049L,LARGE CIRCULAR MIRROR MOBILE,13566,12173.5,230
21912,VINTAGE SNAKES & LADDERS,3387,12157.97,615
22485,SET OF 2 WOODEN MARKET CRATES,995,12146.25,341
22776,SWEETHEART CAKESTAND 3 TIER,1292,12130.4,466
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15376,12124.119999999999,889
21669,BLUE STRIPE CERAMIC DRAWER KNOB,9897,12115.21,639
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,2944,12089.2,283
85042,ANTIQUE LILY FAIRY LIGHTS,2668,12081.0,281
20724,RED RETROSPOT CHARLOTTE BAG,15168,12034.8,908
23207,LUNCH BAG ALPHABET DESIGN,7533,11994.41,647
21217,RED RETROSPOT ROUND CAKE TINS,1268,11983.6,350
22366,DOORMAT AIRMAIL ,1943,11946.53,320
22553,PLASTERS IN TIN SKULLS,7363,11913.75,905
21535,RED RETROSPOT SMALL MILK JUG,4943,11908.050000000001,713
DOT,DOTCOM POSTAGE,16,11906.36,16
22846,BREAD BIN DINER STYLE RED ,771,11879.06,309
21888,BINGO SET,3219,11877.45,626
15056P,EDWARDIAN PARASOL PINK,2436,11872.810000000001,321
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,9592,11818.65,814
84212,"ASSORTED FLOWER COLOUR ""LEIS""",24665,11759.77,258
22584,PACK OF 6 PANNETONE GIFT BOXES,4793,11725.480000000001,498
21955,DOORMAT UNION JACK GUNS AND ROSES,2078,11722.24,275
79323W, WHITE CHERRY LIGHTS,1986,11697.300000000001,215
20723,STRAWBERRY CHARLOTTE BAG,14542,11654.8,988
23077,DOUGHNUT LIP GLOSS ,9642,11615.7,308
22654,DELUXE SEWING KIT ,2045,11611.27,440
23174,REGENCY SUGAR BOWL GREEN,2954,11567.24,268
21156,RETROSPOT CHILDRENS APRON,6437,11562.37,526
22464,HANGING METAL HEART LANTERN,7388,11530.56,645
22838,3 TIER CAKE TIN RED AND CREAM,844,11467.38,220
21668,RED STRIPE CERAMIC DRAWER KNOB,9391,11446.75,614
22804,CANDLEHOLDER PINK HANGING HEART,4069,11400.75,521
22192,BLUE DINER WALL CLOCK,1373,11358.78,511
47567B,TEA TIME KITCHEN APRON,2128,11321.320000000002,320
21080,SET/20 RED SPOTTY PAPER NAPKINS ,15165,11310.21,781
22207,FRYING PAN UNION FLAG,2858,11283.86,324
22365,DOORMAT RESPECTABLE HOUSE,1863,11282.69,244
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,14329,11229.27,890
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,8514,11187.26,697
22082,RIBBON REEL STRIPES DESIGN ,6878,11166.78,819
20969,RED FLORAL FELTCRAFT SHOULDER BAG,3090,11155.41,518
22623,BOX OF VINTAGE JIGSAW BLOCKS ,2195,11129.42,500
22750,FELTCRAFT PRINCESS LOLA DOLL,3039,11094.51,597
21906,PHARMACIE FIRST AID TIN,1642,11093.9,311
22088,PAPER BUNTING COLOURED LACE,4038,11086.900000000001,478
21485,RED SPOT HEART HOT WATER BOTTLE,2362,11031.1,410
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,9171,11022.43,563
84987,SET OF 36 TEATIME PAPER DOILIES,7832,11012.88,642
22444,GROW YOUR OWN PLANT IN A CAN ,8960,10976.56,328
22151,PLACE SETTING WHITE HEART,27085,10910.31,645
47599A,PINK PARTY BAGS,5878,10841.48,325
22301,COFFEE MUG CAT + BIRD DESIGN,4733,10831.29,466
22631,CIRCUS PARADE LUNCH BOX ,5871,10791.83,468
72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,5681,10779.640000000001,426
21671,RED SPOT CERAMIC DRAWER KNOB,8931,10762.47,568
84988,SET OF 72 PINK HEART PAPER DOILIES,7595,10729.4,618
35400,WOODEN BOX ADVENT CALENDAR ,1239,10710.1,331
47591D,PINK FAIRY CAKE CHILDRENS APRON,5839,10704.21,682
22667,RECIPE BOX RETROSPOT ,3841,10702.150000000001,645
21260,FIRST AID TIN,3370,10675.6,442
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,2749,10667.05,363
22950,36 DOILIES VINTAGE CHRISTMAS,7744,10590.4,299
22649,STRAWBERRY FAIRY CAKE TEAPOT,2203,10577.95,410
21937,STRAWBERRY   PICNIC BAG,3801,10572.95,499
22616,PACK OF 12 LONDON TISSUES ,37084,10519.359999999999,633
22417,PACK OF 60 SPACEBOY CAKE CASES,20867,10465.49,911
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,2258,10432.08,286
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,7488,10423.199999999999,449
21844,RED RETROSPOT MUG,3787,10415.650000000001,297
22988,SOLDIERS EGG CUP ,9033,10415.22,349
21172,PARTY METAL SIGN ,7444,10392.72,804
22637,PIGGY BANK RETROSPOT ,4278,10377.02,496
21868,POTTING SHED TEA MUG,8770,10353.86,719
48185,DOOR MAT FAIRY CAKE,1640,10347.72,316
23209,LUNCH BAG VINTAGE DOILY ,6438,10347.66,538
21326,AGED GLASS SILVER T-LIGHT HOLDER,17004,10338.6,532
22580,ADVENT CALENDAR GINGHAM SACK,1785,10338.230000000001,388
23209,LUNCH BAG DOILEY PATTERN ,6477,10323.05,464
22109,FULL ENGLISH BREAKFAST PLATE,2872,10321.92,389
22768,FAMILY PHOTO FRAME CORNICE,1114,10310.19,320
21907,I'M ON HOLIDAY METAL SIGN,4990,10306.150000000001,694
22729,ALARM CLOCK BAKELIKE ORANGE,2797,10300.44,500
22488,NATURAL SLATE RECTANGLE CHALKBOARD,6453,10285.61,653
22508,DOORSTOP RETROSPOT HEART,2695,10283.5,577
21121,SET/10 RED POLKADOT PARTY CANDLES,8541,10238.49,438
22468,BABUSHKA LIGHTS STRING OF 10,1630,10229.64,335
22274,FELTCRAFT DOLL EMILY,3675,10227.310000000001,578
22663,JUMBO BAG DOLLY GIRL DESIGN,5367,10206.78,526
21210,SET OF 72 RETROSPOT PAPER  DOILIES,7259,10177.119999999999,482
23170,REGENCY TEA PLATE ROSES ,6563,10170.99,328
